City Name,City ID,Country,City Longitude,City Latitude,City Wind Speed,City Max Temperature,City Humidity,City Cloudiness,City Dates
Arlit,2447513,NE,7.3853,18.7369,12.26,89.26,4,0,1621982659
Hermanus,3366880,ZA,19.2345,-34.4187,7.31,57.9,74,51,1621982581
Hendek,745664,TR,30.7481,40.7994,1.95,50.32,81,3,1621982659
Dongsheng,1812256,CN,109.9776,39.8161,15.08,54.79,48,39,1621982659
Bathsheba,3374083,BB,-59.5167,13.2167,12.57,81.21,61,20,1621982595
Ushuaia,3833367,AR,-68.3,-54.8,18.41,31.66,86,75,1621982660
Bluff,2206939,NZ,168.3333,-46.6,6.26,42.91,57,70,1621982660
Cape Town,3369157,ZA,18.4232,-33.9258,1.99,58.12,82,0,1621982546
Faanui,4034551,PF,-151.75,-16.4833,11.3,81.05,71,74,1621982660
Saint-Philippe,935215,RE,55.7679,-21.3585,8.23,72.95,87,49,1621982661
Butaritari,2110227,KI,172.7902,3.0707,19.26,81.82,80,100,1621982661
North Platte,5697939,US,-100.7654,41.1239,4.0,79.02,29,1,1621982661
Atuona,4020109,PF,-139.0333,-9.8,13.73,80.01,62,25,1621982662
Hobart,2163355,AU,147.3294,-42.8794,1.01,51.22,80,75,1621982649
Punta Arenas,3874787,CL,-70.9167,-53.15,13.13,35.71,80,20,1621982662
Puerto Ayora,3652764,EC,-90.3518,-0.7393,5.99,84.16,87,34,1621982663
Tasiilaq,3424607,GL,-37.6368,65.6145,44.13,37.56,90,100,1621982663
Bethel,5282297,US,-73.414,41.3712,13.8,75.78,63,1,1621982663
Souillac,933995,MU,57.5167,-20.5167,8.99,71.98,88,20,1621982663
Gboko,2318374,NG,8.9951,7.3179,12.57,80.26,75,91,1621982664
Hilo,5855927,US,-155.09,19.7297,13.8,80.33,80,90,1621982664
Hong Kong,1819729,HK,114.1577,22.2855,1.01,85.32,89,78,1621982409
Shenjiamen,1795632,CN,122.298,29.9576,15.68,68.27,85,100,1621982664
Ilulissat,3423146,GL,-51.1,69.2167,6.91,35.62,60,16,1621982665
Mataura,6201424,NZ,168.8643,-46.1927,2.73,43.05,52,92,1621982665
Nikolskoye,546105,RU,30.7861,59.7035,5.35,48.09,83,99,1621982665
Te Anau,2181625,NZ,167.7167,-45.4167,1.77,44.82,65,78,1621982666
Khatanga,2022572,RU,102.5,71.9667,5.93,31.08,98,100,1621982666
